type,distribution,algorithm,n,batch,reps,median_ns_total,min_ns_total,ns_per_elem
i64,all_equal,boost_block,262144,1,16,55952.0,55841.0,0.2134
i64,all_equal,fulcrum,262144,1,16,116063.0,115192.0,0.4427
i64,all_equal,block_simd_amd,262144,1,16,56582.0,56391.0,0.2158
i64,all_equal,sized,262144,1,16,56501.0,56371.0,0.2155
i64,all_equal,std_partition,1048576,1,5,167453.0,166604.0,0.1597
i64,all_equal,lomuto,1048576,1,5,444800.0,439920.0,0.4242
i64,all_equal,lomuto_branchless,1048576,1,5,608754.0,607214.0,0.5806
i64,all_equal,hoare,1048576,1,5,221415.0,220976.0,0.2112
i64,all_equal,hoare_guarded,1048576,1,5,165744.0,165204.0,0.1581
i64,all_equal,block,1048576,1,5,501862.0,499642.0,0.4786
i64,all_equal,boost_block,1048576,1,5,225565.0,220476.0,0.2151
i64,all_equal,fulcrum,1048576,1,5,460320.0,450910.0,0.4390
i64,all_equal,block_simd_amd,1048576,1,5,221565.0,221045.0,0.2113
i64,all_equal,sized,1048576,1,5,222795.0,222255.0,0.2125
i64,all_equal,std_partition,4194304,1,5,1387202.0,1383271.0,0.3307
i64,all_equal,lomuto,4194304,1,5,1957205.0,1949444.0,0.4666
i64,all_equal,lomuto_branchless,4194304,1,5,2602570.0,2583879.0,0.6205
i64,all_equal,hoare,4194304,1,5,1613388.0,1529325.0,0.3847
i64,all_equal,hoare_guarded,4194304,1,5,1387592.0,1382141.0,0.3308
i64,all_equal,block,4194304,1,5,2189630.0,2185010.0,0.5220
i64,all_equal,boost_block,4194304,1,5,1532275.0,1497005.0,0.3653
i64,all_equal,fulcrum,4194304,1,5,2283472.0,2254982.0,0.5444
i64,all_equal,block_simd_amd,4194304,1,5,1591536.0,1498135.0,0.3795
i64,all_equal,sized,4194304,1,5,1484064.0,1457393.0,0.3538
i64,sorted_ascending,std_partition,4,16384,64,38341.0,38101.0,0.5850
i64,sorted_ascending,lomuto,4,16384,64,31771.0,31171.0,0.4848
i64,sorted_ascending,lomuto_branchless,4,16384,64,42301.0,41981.0,0.6455
i64,sorted_ascending,hoare,4,16384,64,38321.0,35461.0,0.5847
i64,sorted_ascending,hoare_guarded,4,16384,64,31651.0,28891.0,0.4830
i64,sorted_ascending,block,4,16384,64,41731.0,41501.0,0.6368
i64,sorted_ascending,boost_block,4,16384,64,34791.0,34741.0,0.5309
i64,sorted_ascending,fulcrum,4,16384,64,38451.0,38361.0,0.5867
i64,sorted_ascending,block_simd_amd,4,16384,64,35341.0,34771.0,0.5393
i64,sorted_ascending,sized,4,16384,64,42611.0,42151.0,0.6502
i64,sorted_ascending,std_partition,8,8192,64,28050.0,26330.0,0.4280
i64,sorted_ascending,lomuto,8,8192,64,31331.0,29580.0,0.4781
i64,sorted_ascending,lomuto_branchless,8,8192,64,40781.0,40610.0,0.6223
i64,sorted_ascending,hoare,8,8192,64,29671.0,28210.0,0.4527
i64,sorted_ascending,hoare_guarded,8,8192,64,30300.0,30070.0,0.4623
