type,case,algo,n,k,delta,total_ops,samples,min_ns,p50_ns,p90_ns,mean_ns,cv_pct
i64,a,extend_bsearch,8,6,2,5005312,611,23.959,24.363,24.815,24.452,1.62
i64,a,sort_network,8,6,2,5005312,611,4.540,4.608,4.639,4.630,2.21
i64,a,std::sort,8,6,2,5005312,611,18.271,18.651,19.080,18.734,2.02
i64,b,extend_sorted,8,6,2,5005312,611,11.667,11.951,12.268,12.004,1.75
i64,b,merge_sorted,8,6,2,5005312,611,15.458,15.813,16.219,15.896,2.37
i64,b,merge_branchless,8,6,2,5005312,611,20.950,21.248,21.714,21.347,2.06
i64,b,sort_network,8,6,2,5005312,611,4.568,4.620,4.650,4.651,6.64
i64,b,std::inplace_merge,8,6,2,5005312,611,24.021,24.424,25.047,24.557,2.17
i64,b,std::merge,8,6,2,5005312,611,14.834,15.268,15.652,15.316,2.19
i64,a,extend_sorted,8,5,3,5005312,611,18.669,19.313,19.766,19.367,1.68
i64,a,extend_scan,8,5,3,5005312,611,25.641,26.089,26.634,26.220,2.30
i64,a,extend_bsearch,8,5,3,5005312,611,35.525,36.069,36.536,36.192,2.31
i64,a,sort_network,8,5,3,5005312,611,4.570,4.618,4.646,4.640,2.26
i64,a,std::sort,8,5,3,5005312,611,23.747,24.069,24.579,24.204,2.49
i64,b,extend_sorted,8,5,3,5005312,611,14.904,15.290,15.661,15.357,1.78
i64,b,merge_sorted,8,5,3,5005312,611,20.016,20.434,20.924,20.540,2.58
i64,b,merge_branchless,8,5,3,5005312,611,22.742,23.084,23.567,23.179,3.91
i64,b,sort_network,8,5,3,5005312,611,4.563,4.618,4.641,4.636,2.58
i64,b,std::inplace_merge,8,5,3,5005312,611,28.126,28.660,29.122,28.751,2.12
i64,b,std::merge,8,5,3,5005312,611,18.387,18.791,19.252,18.880,2.27
i64,a,extend_sorted,8,4,4,5005312,611,24.908,25.650,26.109,25.679,1.26
i64,a,extend_scan,8,4,4,5005312,611,34.524,34.943,35.384,35.024,1.43
i64,a,extend_bsearch,8,4,4,5005312,611,46.108,46.660,47.176,46.731,1.35
i64,a,sort_network,8,4,4,5005312,611,4.558,4.600,4.633,4.621,2.11
i64,a,std::sort,8,4,4,5005312,611,29.554,29.917,30.385,30.006,1.22
i64,b,extend_sorted,8,4,4,5005312,611,16.606,16.957,17.334,17.008,1.70
i64,b,merge_sorted,8,4,4,5005312,611,23.333,23.987,24.445,24.046,1.31
i64,b,merge_branchless,8,4,4,5005312,611,25.423,25.674,26.189,25.772,1.18
i64,b,sort_network,8,4,4,5005312,611,4.567,4.597,4.638,4.623,2.33
i64,b,std::inplace_merge,8,4,4,5005312,611,29.484,30.174,30.729,30.289,1.76
i64,b,std::merge,8,4,4,5005312,611,19.804,20.188,20.613,20.246,1.46
i64,a,extend_sorted,8,2,6,5005312,611,35.789,36.648,37.185,36.688,1.08
i64,a,extend_scan,8,2,6,5005312,611,48.819,49.597,50.112,49.650,1.07
i64,a,extend_bsearch,8,2,6,5005312,611,63.573,64.311,64.932,64.431,1.33
i64,a,sort_network,8,2,6,5005312,611,4.568,4.606,4.639,4.629,2.46
i64,a,std::sort,8,2,6,5005312,611,40.782,41.317,41.911,41.393,1.48
i64,b,extend_sorted,8,2,6,5005312,611,15.227,15.533,15.940,15.607,1.99
i64,b,merge_sorted,8,2,6,5005312,611,17.080,17.543,17.914,17.610,2.07
i64,b,merge_branchless,8,2,6,5005312,611,21.290,21.686,22.056,21.745,1.56
i64,b,sort_network,8,2,6,5005312,611,4.570,4.600,4.640,4.635,3.60
i64,b,std::inplace_merge,8,2,6,5005312,611,23.207,24.133,24.607,24.215,2.57
i64,b,std::merge,8,2,6,5005312,611,15.155,15.401,15.790,15.474,2.05
i64,a,extend_sorted,9,8,1,5002047,687,6.584,6.668,6.709,6.701,3.16
i64,a,extend_scan,9,8,1,5002047,687,9.502,9.598,9.657,9.636,1.53
i64,a,extend_bsearch,9,8,1,5002047,687,12.562,12.722,13.173,12.778,1.50
i64,a,sort_network,9,8,1,5002047,687,5.694,5.736,5.763,5.767,2.24
i64,a,std::sort,9,8,1,5002047,687,15.230,15.364,15.809,15.430,1.41
i64,b,extend_sorted,9,8,1,5002047,687,6.394,6.472,6.509,6.505,3.46
i64,b,merge_sorted,9,8,1,5002047,687,9.179,9.377,9.572,9.420,1.94
i64,b,merge_branchless,9,8,1,5002047,687,17.806,18.001,18.444,18.103,5.68
i64,b,sort_network,9,8,1,5002047,687,5.710,5.749,5.780,5.789,3.07
i64,b,std::inplace_merge,9,8,1,5002047,687,16.817,17.005,17.576,17.122,1.66
i64,b,std::merge,9,8,1,5002047,687,10.908,11.089,11.548,11.177,2.23
i64,a,extend_sorted,9,7,2,5002047,687,12.463,13.036,13.365,13.060,2.23
i64,a,extend_scan,9,7,2,5002047,687,17.975,18.348,18.863,18.446,2.20
i64,a,extend_bsearch,9,7,2,5002047,687,25.058,25.496,26.037,25.609,1.75
i64,a,sort_network,9,7,2,5002047,687,5.644,5.736,5.767,5.761,2.18
i64,a,std::sort,9,7,2,5002047,687,20.142,20.457,21.034,20.593,3.02
i64,b,extend_sorted,9,7,2,5002047,687,12.150,12.472,12.807,12.523,1.85
i64,b,merge_sorted,9,7,2,5002047,687,15.662,15.914,16.398,16.025,2.87
i64,b,merge_branchless,9,7,2,5002047,687,23.192,23.582,24.109,23.706,1.93
i64,b,sort_network,9,7,2,5002047,687,5.655,5.745,5.795,5.802,4.87
i64,b,std::inplace_merge,9,7,2,5002047,687,24.357,24.808,25.735,25.086,3.33
i64,b,std::merge,9,7,2,5002047,687,15.662,15.989,16.483,16.081,2.25
i64,a,extend_sorted,9,6,3,5002047,687,18.832,19.351,19.838,19.419,1.78
i64,a,extend_scan,9,6,3,5002047,687,26.695,27.096,27.597,27.187,1.22
i64,a,extend_bsearch,9,6,3,5002047,687,37.551,38.104,38.681,38.252,3.11
