type,dist,p,n,algo,ns_per_elem,k_over_S,ns_per_k,ns_per_min
pair64,random_uniform,0.10,1048576,key_one_part,0.8510,0.829,10.2627,49.8386
pair64,random_uniform,0.10,1048576,fwd_sample,0.7545,0.617,12.2363,19.6775
pair64,random_uniform,0.10,1048576,sample,0.7400,0.617,12.0020,19.3007
pair64,random_uniform,0.10,1048576,part_until,1.5521,0.418,37.1697,37.1697
pair64,random_uniform,0.10,1048576,rev_part_until,1.4628,0.809,18.0788,76.6344
pair64,random_uniform,0.10,4194304,ref,7.2055,0.500,144.1103,144.1103
pair64,random_uniform,0.10,4194304,count_select,2.8767,0.500,57.5346,57.5346
pair64,random_uniform,0.10,4194304,fwd_key_select,1.1552,0.500,23.1049,23.1049
pair64,random_uniform,0.10,4194304,key_select,1.1473,0.500,22.9468,22.9468
pair64,random_uniform,0.10,4194304,rev_count_select,3.0055,0.500,60.1103,60.1103
pair64,random_uniform,0.10,4194304,key_one_part,1.0599,0.663,15.9884,31.4435
pair64,random_uniform,0.10,4194304,fwd_sample,0.9324,0.518,18.0056,19.3387
pair64,random_uniform,0.10,4194304,sample,0.8829,0.518,17.0491,18.3114
pair64,random_uniform,0.10,4194304,part_until,2.0936,0.611,34.2715,53.8071
pair64,random_uniform,0.10,4194304,rev_part_until,2.2370,0.638,35.0876,61.7196
pair64,random_uniform,0.50,65536,ref,5.1348,0.500,20.5392,20.5392
pair64,random_uniform,0.50,65536,count_select,2.4284,0.500,9.7136,9.7136
pair64,random_uniform,0.50,65536,fwd_key_select,1.7641,0.500,7.0566,7.0566
pair64,random_uniform,0.50,65536,key_select,1.7509,0.500,7.0035,7.0035
pair64,random_uniform,0.50,65536,rev_count_select,2.4691,0.500,9.8765,9.8765
pair64,random_uniform,0.50,65536,key_one_part,1.3283,0.441,6.0183,6.0183
pair64,random_uniform,0.50,65536,fwd_sample,0.9062,0.494,3.6725,3.6725
pair64,random_uniform,0.50,65536,sample,0.8004,0.494,3.2434,3.2434
pair64,random_uniform,0.50,65536,part_until,1.4814,0.783,3.7816,13.6834
pair64,random_uniform,0.50,65536,rev_part_until,1.2621,0.977,2.5849,107.5605
pair64,random_uniform,0.50,262144,ref,5.5475,0.500,22.1905,22.1905
pair64,random_uniform,0.50,262144,count_select,1.8659,0.500,7.4638,7.4638
pair64,random_uniform,0.50,262144,fwd_key_select,2.0156,0.500,8.0626,8.0626
pair64,random_uniform,0.50,262144,key_select,1.6491,0.500,6.5963,6.5963
pair64,random_uniform,0.50,262144,rev_count_select,1.9062,0.500,7.6248,7.6248
pair64,random_uniform,0.50,262144,key_one_part,1.2772,0.280,9.1119,9.1119
pair64,random_uniform,0.50,262144,fwd_sample,0.8909,0.455,3.9191,3.9191
pair64,random_uniform,0.50,262144,sample,0.7906,0.455,3.4781,3.4781
pair64,random_uniform,0.50,262144,part_until,0.9895,0.774,2.5552,8.7745
pair64,random_uniform,0.50,262144,rev_part_until,0.8145,0.774,2.1034,7.2230
pair64,random_uniform,0.50,1048576,ref,6.8774,0.500,27.5098,27.5098
pair64,random_uniform,0.50,1048576,count_select,2.4369,0.500,9.7477,9.7477
pair64,random_uniform,0.50,1048576,fwd_key_select,1.7717,0.500,7.0870,7.0870
pair64,random_uniform,0.50,1048576,key_select,1.7371,0.500,6.9483,6.9483
pair64,random_uniform,0.50,1048576,rev_count_select,2.5937,0.500,10.3750,10.3750
pair64,random_uniform,0.50,1048576,key_one_part,1.3429,0.480,5.5938,5.5938
pair64,random_uniform,0.50,1048576,fwd_sample,0.9046,0.518,3.4936,3.7525
pair64,random_uniform,0.50,1048576,sample,0.8006,0.518,3.0919,3.3211
pair64,random_uniform,0.50,1048576,part_until,1.4439,0.572,5.0454,6.7525
